SN,District,Local Level Name,Total family number,Total household number,population,Total Male,Total Female
422,Syangja,Aandhikhola Rural Municipality,4718,4278,14970,6916,8054
423,Syangja,Arjunchaupari Rural Municipality,3810,3549,14094,6495,7599
424,Syangja,Bhirkot Municipality,6226,5644,22617,10320,12297
425,Syangja,Biruwa Rural Municipality,3980,3775,13900,6571,7329
426,Syangja,Chapakot Municipality,6389,5726,22787,10398,12389
427,Syangja,Galyang Municipality,7971,7226,31125,14413,16712
428,Syangja,Harinas Rural Municipality,3591,3318,12979,5953,7026
429,Syangja,Kaligandagi Rural Municipality,4946,4666,18008,8242,9766
430,Syangja,Phedikhola Rural Municipality,3222,2919,10786,5035,5751
431,Syangja,Putalibazar Municipality,12152,10390,42079,19440,22639
432,Syangja,Waling Municipality,13705,11365,50932,23657,27275
433,Kaski,Annapurna Rural Municipality,6406,5811,22517,10863,11654
434,Kaski,Machhapuchchhre Rural Municipality,6144,5509,22013,10762,11251
435,Kaski,Madi Rural Municipality,4115,4014,16318,8136,8182
436,Kaski,Pokhara Metropolitian City,143137,101669,518452,250999,267453
437,Kaski,Rupa Rural Municipality,3674,3569,14741,7093,7648
438,Manang,Chame Rural Municipality,391,333,1272,728,544
439,Manang,Narpa Bhumi Rural Municipality,125,125,398,170,228
440,Manang,Narshon Rural Municipality,471,441,1671,831,840
441,Manang,Manang Ingshyang Rural Municipality,558,548,1584,818,766
442,Mustang,Waragung Muktikhsetra Rural Municipality,738,666,2611,1336,1275
443,Mustang,Lo-Ghekar Damodarkunda Rural Municipality,459,444,1535,748,787
444,Mustang,Gharapjhong Rural Municipality,1169,921,4875,2904,1971
445,Mustang,Lomanthang Rural Municipality,540,539,1997,1132,865
446,Mustang,Thasang Rural Municipality,845,698,3578,2054,1524
447,Myagdi,Annapurna Rural Municipality,3618,3340,12351,6078,6273
448,Myagdi,Beni Municipality,9465,7202,33062,15572,17490
449,Myagdi,Dhaulagiri Rural Municipality,3192,3008,12604,6158,6446
450,Myagdi,Malika Rural Municipality,4818,4336,18346,8999,9347
451,Myagdi,Mangala Rural Municipality,3934,3699,14772,7030,7742
452,Myagdi,Raghuganga Rural Municipality,4174,3767,14232,6857,7375
453,Parbat,Bihadi Rural Municipality,3192,3063,12521,5960,6561
454,Parbat,Jaljala Rural Municipality,6095,5140,21375,10259,11116
455,Parbat,Kushma Municipality,11906,9740,38774,18543,20231
456,Parbat,Mahashila Rural Municipality,2093,1964,8233,3867,4366
457,Parbat,Modi Rural Municipality,5148,4618,18018,8611,9407
458,Parbat,Painyu Rural Municipality,3292,2995,12705,6025,6680
459,Parbat,Phalebas Municipality,5875,5529,20726,9534,11192
460,Baglung,Badigad Rural Municipality,6819,6324,28797,13487,15310
461,Baglung,Baglung Municipality,16399,12924,57030,26588,30442
462,Baglung,Bareng Rural Municipality,2981,2796,11162,5070,6092
463,Baglung,Dhorpatan Municipality,7661,6535,30779,14306,16473
464,Baglung,Galkot Municipality,7912,7314,30503,14473,16030
465,Baglung,Jaimuni Municipality,6912,6555,24784,11310,13474
466,Baglung,Kanthekhola Rural Municipality,5961,5743,22732,10387,12345
467,Baglung,Nisikhola Rural Municipality,5711,5499,23215,10566,12649
468,Baglung,Taman Khola Rural Municipality,2622,2453,9795,4667,5128
469,Baglung,Tara Khola Rural Municipality,2356,2302,10167,5010,5157
470,Nawalparasi East,Binayee Tribeni Rural Municipality,9348,8651,39201,18664,20537
471,Nawalparasi East,Bulingtar Rural Municipality,3569,3305,14596,7007,7589
472,Nawalparasi East,Baudeekali Rural Municipality,2914,2676,11339,5164,6175
473,Nawalparasi East,Devchuli Municipality,14836,13127,59400,28133,31267
474,Nawalparasi East,Gaidakot Municipality,20701,17151,80737,38725,42012
475,Nawalparasi East,Hupsekot Rural Municipality,6250,5865,26861,12346,14515
476,Nawalparasi East,Kawasoti Municipality,22184,19568,87176,40890,46286
477,Nawalparasi East,Madhyabindu Municipality,15549,14345,61548,28291,33257
478,Gulmi,Chandrakot Rural Municipality,5148,4732,18751,8605,10146
479,Gulmi,Chatrakot Rural Municipality,5320,5073,19239,8601,10638
480,Gulmi,Dhurkot Rural Municipality,5405,5036,18699,8285,10414
481,Gulmi,Gulmidarbar Rural Municipality,5288,5032,19413,8490,10923
482,Gulmi,Isma Rural Municipality,5013,4777,18530,8453,10077
483,Gulmi,Kaligandaki Rural Municipality,3793,3640,15106,7085,8021
484,Gulmi,Madane Rural Municipality,5274,4961,19820,8985,10835
485,Gulmi,Malika Rural Municipality,5273,5040,20173,9263,10910
486,Gulmi,Musikot Municipality,7135,6761,28761,13371,15390
487,Gulmi,Resunga Municipality,9129,6865,31677,14696,16981
488,Gulmi,Ruru Rural Municipality,4691,4348,16638,7627,9011
489,Gulmi,Satyawati Rural Municipality,5252,4953,19751,9056,10695
490,Palpa,Bagnaskali Rural Municipality,4648,4423,16934,7683,9251
491,Palpa,Mathagadhi Rural Municipality,5840,5553,24024,11222,12802
492,Palpa,Nisdi Rural Municipality,4075,3772,17629,8137,9492
493,Palpa,Purbakhola Rural Municipality,4138,3660,16145,7147,8998
494,Palpa,Rainadevi Chhahara Rural Municipality,6390,6046,23124,10491,12633
495,Palpa,Rambha Rural Municipality,4696,4339,17077,7565,9512
496,Palpa,Rampur Municipality,10821,9111,39190,17775,21415
497,Palpa,Ribdikot Rural Municipality,4459,4236,15636,7195,8441
498,Palpa,Tansen Municipality,14865,10919,51470,23927,27543
499,Palpa,Tinau Rural Municipality,4326,4164,18291,8628,9663
500,Nawalparasi West,Bardaghat Municipality,18240,16430,75017,35180,39837
501,Nawalparasi West,Palhi Nandan Rural Municipality,7383,6165,40325,20662,19663
502,Nawalparasi West,Pratappur Rural Municipality,10753,9234,50326,25016,25310
503,Nawalparasi West,Ramgram Municipality,13081,11037,64150,31842,32308
504,Nawalparasi West,Sarawal Rural Municipality,8840,7576,42217,20691,21526
505,Nawalparasi West,Sunwal Municipality,17689,15871,72621,34316,38305
506,Nawalparasi West,Susta Rural Municipality,7892,6946,39798,19365,20433
507,Rupandehi,Butwal Sub-Metropolitian City,51099,36989,195054,95705,99349
